GeneID	Base mean	Log2(FC)	StdErr	Wald-Stats	P-value	P-Adj
gene-J2S48_RS21045	492.038049094483	-3.20923783377569	0.40927470775209	-7.841280619079	4.45974536825919e-15	1.15986661256592e-13
MSTRG.12.1	265.076020572625	-3.49531467535848	0.446416405604038	-7.8297182439544	4.88964513088258e-15	1.26225283563895e-13
gene-J2S48_RS09620	378.854729619692	2.82564675325516	0.361442135297414	7.8177015829382	5.37965374943589e-15	1.37853627329295e-13
gene-J2S48_RS02795	3215.54382981684	-2.87512152023985	0.369145675775057	-7.78858241858924	6.77651625733497e-15	1.72380723772353e-13
gene-J2S48_RS18085	12776.4836403841	-2.26058028519499	0.290516795673373	-7.78123784532082	7.18183259196702e-15	1.81367294079747e-13
gene-J2S48_RS02340	1270.08153357316	4.46480020453572	0.574834798660983	7.7671014610389	8.03025184931439e-15	2.01334012193242e-13
gene-J2S48_RS08750	1045.36713568909	-3.47639053399821	0.448633664583743	-7.74884010816201	9.27356984945138e-15	2.308456494667e-13
MSTRG.2110.1	729.198561083282	3.18084574649457	0.410942733451024	7.74036255558626	9.91337172036294e-15	2.45021988974928e-13
gene-J2S48_RS02205	438.649640447985	-2.90698330641626	0.375749526662205	-7.73649226451218	1.02197198456716e-14	2.49061004630529e-13
rna-J2S48_RS24235	65.3126463375105	6.11002137363029	0.789751809830826	7.73663484853441	1.02082702612217e-14	2.49061004630529e-13
MSTRG.627.1	14853.0676030201	2.698133549209	0.348998287371545	7.73107962657867	1.06638292256467e-14	2.58079478134576e-13
rna-J2S48_RS15085	590.96487523479	2.960098959177	0.383020625078489	7.72830172936616	1.08990769690293e-14	2.61953677497014e-13
gene-J2S48_RS17320	1611.7147840159	-3.55013106521112	0.459484565970008	-7.72633365326759	1.10688277949912e-14	2.6421140318866e-13
gene-J2S48_RS00495	1510.25655215321	3.41141681199459	0.441887697659612	7.72009908866577	1.16239305352627e-14	2.75574135478846e-13
gene-J2S48_RS07795	1036.53525071385	2.85731728584069	0.370708539740896	7.70771908259192	1.28086303363558e-14	3.01608626501352e-13
gene-J2S48_RS13070	423.78393812142	2.59253498398833	0.336491939167098	7.70459759126923	1.31256238983276e-14	3.05565450830576e-13
gene-J2S48_RS15265	98.4534183117696	-5.70272596284748	0.740196469278145	-7.7043409412759	1.31520280127938e-14	3.05565450830576e-13
MSTRG.1730.1	6155.5683665603	-4.39867811930841	0.571157944218594	-7.70133404224339	1.34652974467939e-14	3.10771931139581e-13
gene-J2S48_RS04415	9329.72944207816	-1.93726832794351	0.252191017944147	-7.68174990424347	1.56929981996069e-14	3.59803281089672e-13
gene-J2S48_RS10180	295.490699932215	-4.01058776802045	0.525546612210006	-7.63126937714487	2.32453383050377e-14	5.29477150281414e-13
gene-J2S48_RS17260	780.524735613642	3.35588166246453	0.439991608430006	7.62714924141191	2.40001695962766e-14	5.41907056284854e-13
gene-J2S48_RS25370	2101.83130522837	-2.83028519410592	0.371106925477644	-7.62660300791509	2.41020355019089e-14	5.41907056284854e-13
gene-J2S48_RS10260	401.204797199669	-2.96431957359777	0.39017338041019	-7.59744186156775	3.02041839843405e-14	6.74753725547607e-13
gene-J2S48_RS00840	270.930285811264	-4.1982519174884	0.553395811736886	-7.58634566516104	3.2905386989442e-14	7.30415755784747e-13
gene-J2S48_RS25005	915.592483893173	3.23830637524605	0.429086358551252	7.54698048705096	4.45465297345914e-14	9.82561114715512e-13
gene-J2S48_RS16890	457.057449108986	2.45796626669965	0.325922864655109	7.54155824354534	4.64388576902161e-14	1.01785798144908e-12
gene-J2S48_RS13810	337.805012372086	-2.94710355295435	0.394807046473818	-7.46466806830355	8.35098600789562e-14	1.81894913984476e-12
MSTRG.2124.1	313.846406645782	3.60809154558542	0.483773594980714	7.45822339834249	8.76968898114143e-14	1.8982836086508e-12
gene-J2S48_RS07855	304.082341261331	3.17994015659843	0.427019302767381	7.44683000508458	9.56096863612021e-14	2.05678862326413e-12
rna-J2S48_RS24160	573.406197262979	2.9936090108503	0.403113081121352	7.42622641399502	1.11739664257305e-13	2.38903515298595e-12
gene-J2S48_RS13390	6689.9951220792	-2.53130329036609	0.340935270240106	-7.42458616435725	1.13133075679277e-13	2.40407785818465e-12
rna-J2S48_RS15560	340.915977809167	4.67195463070333	0.631798566601687	7.39469013966398	1.41738403256681e-13	2.99368688090626e-12
gene-J2S48_RS01390	856.871041622715	-2.89074253467758	0.391561542479169	-7.38260074361457	1.55226992388518e-13	3.25883173779509e-12
gene-J2S48_RS01380	1704.52776048223	-2.50810864725147	0.339816356293542	-7.38077670718388	1.5736874575467e-13	3.28401244883249e-12
gene-J2S48_RS08560	2290.44746937202	3.16685850394836	0.430161897668145	7.36201537401503	1.81154101687861e-13	3.75786931179879e-12
gene-J2S48_RS18880	3525.05476195164	2.43465729419892	0.330931231607949	7.35698858753601	1.88105424271959e-13	3.87897871945431e-12
gene-J2S48_RS07815	192.891863872214	3.01657518312669	0.411282685936029	7.33455427685056	2.22460599004495e-13	4.56044227959214e-12
gene-J2S48_RS07565	1036.47831491349	-2.51628974565053	0.343127691385776	-7.33339164638124	2.24399920406905e-13	4.57329662349745e-12
gene-J2S48_RS04985	1126.18196464183	-2.30727013187222	0.315070558928366	-7.32302675222916	2.42439445025521e-13	4.91221782508104e-12
gene-J2S48_RS25915	356.490467788596	3.96699356344348	0.542175583430341	7.31680600285306	2.53942550437101e-13	5.11554790909421e-12
gene-J2S48_RS25905	582.781463733072	4.75368277464474	0.651192630488274	7.29996402305775	2.87844684054171e-13	5.76516508005049e-12
gene-J2S48_RS21240	1154.11970119244	-2.67258880113391	0.367641804994237	-7.26954542391013	3.60699221451357e-13	7.18306735290274e-12
MSTRG.1093.1	2446.19888512039	-2.46755323635774	0.340389028846787	-7.24921494890016	4.19194180881795e-13	8.30052113848327e-12
rna-J2S48_RS12470	133.643298610277	4.66110977044914	0.644769082057259	7.22911488804173	4.8615203865797e-13	9.57197658035608e-12
